id,prediction
0,0.15704738
1,0.93479115
2,0.24693301
3,0.29867575
4,0.104502395
5,0.61641824
6,0.69899267
7,0.33211538
8,0.104502395
9,0.92983544
10,0.19534211
11,0.14944081
12,0.64464283
13,0.12321643
14,0.5701445
15,0.9571224
16,0.104502395
17,0.95712173
18,0.39025158
19,0.30817246
20,0.6575453
21,0.9087348
22,0.50247556
23,0.10500871
24,0.10741231
25,0.6461092
26,0.64260656
27,0.79619056
28,0.12709323
29,0.67087626
30,0.78625685
31,0.6995627
32,0.5194218
33,0.21897455
34,0.5387487
35,0.59741956
36,0.31541163
37,0.6942862
38,0.34901577
39,0.46246397
40,0.21932521
41,0.48508045
42,0.3311993
43,0.219395
44,0.6182333
45,0.7240213
46,0.21266228
47,0.9258484
48,0.60861063
49,0.6243825
50,0.8925574
51,0.5067531
52,0.31705704
53,0.30760613
54,0.1069651
55,0.3937271
56,0.32402015
57,0.95908576
58,0.3169242
59,0.5823914
60,0.8161493
61,0.95690817
62,0.9165025
63,0.34646684
64,0.10910446
65,0.1349789
66,0.86721194
67,0.3169296
68,0.39065874
69,0.38781014
70,0.9571146
71,0.8954077
72,0.16860442
73,0.9293237
74,0.33459744
75,0.63972527
76,0.21935456
77,0.90743726
78,0.6499602
79,0.67171997
80,0.505537
81,0.5901018
82,0.33394027
83,0.4006525
84,0.25513464
85,0.49066597
86,0.24580434
87,0.39481524
88,0.33900788
89,0.7963544
90,0.8723302
91,0.104502395
92,0.46755302
93,0.6907872
94,0.9403917
95,0.7326171
96,0.21644692
97,0.9230631
98,0.8791039
99,0.9352136
100,0.5769965
101,0.11408376
102,0.95696765
103,0.17237775
104,0.104502395
105,0.9571202
106,0.9417329
107,0.91635203
108,0.104502395
109,0.15145908
110,0.9568599
111,0.7310362
112,0.2193788
113,0.21926633
114,0.4008901
115,0.9571218
116,0.837274
117,0.104502395
118,0.22291575
119,0.35974652
120,0.4019278
121,0.9432424
122,0.88467056
123,0.3169325
124,0.104502395
125,0.1786771
126,0.54409486
127,0.1882238
128,0.9282299
129,0.2902436
130,0.9571219
131,0.6147716
132,0.78792167
133,0.8723301
134,0.6696869
135,0.7127618
136,0.34811246
137,0.65153164
138,0.5661541
139,0.96402586
140,0.15559493
141,0.75549984
142,0.18028077
143,0.89381504
144,0.586139
145,0.2707888
146,0.74955463
147,0.22317845
148,0.30771965
149,0.5400085
150,0.47142553
151,0.29116166
152,0.3151498
153,0.4272872
154,0.21937874
155,0.74466604
156,0.087807804
157,0.5282507
158,0.94335747
159,0.104502395
160,0.7066388
161,0.61767006
162,0.7299161
163,0.20072773
164,0.22045286
165,0.7477372
166,0.4266535
167,0.72175056
168,0.5611083
169,0.248855
170,0.8002907
171,0.21938059
172,0.34638405
173,0.21938348
174,0.104502395
175,0.9563181
176,0.92530674
177,0.104502395
178,0.2178366
179,0.39622766
180,0.21935515
181,0.104502395
182,0.10436936
183,0.7950271
184,0.5593784
185,0.12877077
186,0.7744442
187,0.9306064
188,0.7928228
189,0.24738763
190,0.20672199
191,0.07922817
192,0.502876
193,0.6425973
194,0.9047313
195,0.6859877
196,0.9571214
197,0.75190026
198,0.96535736
199,0.18822369
200,0.71944004
201,0.47116768
202,0.28148663
203,0.75298643
204,0.21655357
205,0.70568365
206,0.104502395
207,0.18841147
208,0.21938048
209,0.08814715
210,0.3169303
211,0.85249555
212,0.20601729
213,0.420786
214,0.10456525
215,0.9395373
216,0.37320596
217,0.48331085
218,0.9571111
219,0.6644358
220,0.79550433
221,0.5692358
222,0.3169184
223,0.89668536
224,0.9571219
225,0.52378654
226,0.9049768
227,0.15590084
228,0.07974526
229,0.42033857
230,0.08780793
231,0.5440697
232,0.12766908
233,0.3247186
234,0.68072957
235,0.5500325
236,0.108455256
237,0.16139498
238,0.10147432
239,0.44007266
240,0.685997
241,0.464644
